Trade ID,Entry Date,Side,ATM Strike,Lots,Net P&L,Capital,Year,Month,Equity,Peak,Drawdown,Drawdown_Pct,Daily_Ret,Cumulative P&L
21,2023-04-03 02:33:00,BULL,17400,5,37000,1297500,2023,4,1334500,1334500,0.0,0.0,0.037,334500
22,2023-05-02 01:00:00,BULL,18150,5,37000,1334500,2023,5,1371500,1371500,0.0,0.0,0.037,371500
23,2023-06-01 03:15:00,BEAR,18500,5,-25500,1371500,2023,6,1346000,1371500,-0.01859278162595698,-1.859278162595698,-0.0255,346000
24,2023-07-03 01:00:00,BULL,19300,5,37000,1346000,2023,7,1383000,1383000,0.0,0.0,0.037,383000
25,2023-08-01 09:15:00,BULL,19750,5,37000,1383000,2023,8,1420000,1420000,0.0,0.0,0.037,420000
26,2023-09-01 01:00:00,BULL,19400,5,37000,1420000,2023,9,1457000,1457000,0.0,0.0,0.037,457000
27,2023-10-03 01:00:00,BEAR,19550,5,-25500,1457000,2023,10,1431500,1457000,-0.017501715854495538,-1.7501715854495539,-0.0255,431500
28,2023-11-01 01:00:00,BEAR,19050,5,-25500,1431500,2023,11,1406000,1457000,-0.035003431708991076,-3.5003431708991077,-0.0255,406000
29,2023-12-01 01:00:00,BULL,20300,5,37000,1406000,2023,12,1443000,1457000,-0.009608785175017159,-0.9608785175017158,0.037,443000
30,2024-01-01 02:00:00,BULL,21750,5,37000,1443000,2024,1,1480000,1480000,0.0,0.0,0.037,480000
31,2024-02-01 01:00:00,BULL,21700,5,37000,1480000,2024,2,1517000,1517000,0.0,0.0,0.037,517000
32,2024-03-01 01:00:00,BULL,22300,6,44500,1517000,2024,3,1561500,1561500,0.0,0.0,0.0445,561500
33,2024-04-01 09:26:00,BULL,22500,6,44500,1561500,2024,4,1606000,1606000,0.0,0.0,0.0445,606000
34,2024-05-02 09:15:00,BEAR,22650,6,-30500,1606000,2024,5,1575500,1606000,-0.018991282689912826,-1.8991282689912827,-0.0305,575500
35,2024-06-03 01:00:00,BULL,23250,6,44500,1575500,2024,6,1620000,1620000,0.0,0.0,0.0445,620000
36,2024-08-01 01:00:00,BULL,25000,6,44500,1620000,2024,8,1664500,1664500,0.0,0.0,0.0445,664500
37,2024-09-02 01:10:00,BULL,25250,6,44500,1664500,2024,9,1709000,1709000,0.0,0.0,0.0445,709000
38,2024-10-01 01:00:00,BEAR,25800,6,-30500,1709000,2024,10,1678500,1709000,-0.017846693973083673,-1.7846693973083674,-0.0305,678500
39,2024-12-02 01:58:00,BULL,24200,6,44500,1678500,2024,12,1723000,1723000,0.0,0.0,0.0445,723000
40,2025-01-01 01:00:00,BULL,23750,6,44500,1723000,2025,1,1767500,1767500,0.0,0.0,0.0445,767500
41,2025-02-01 02:23:00,BULL,23550,7,52000,1767500,2025,2,1819500,1819500,0.0,0.0,0.052,819500
42,2025-03-03 01:32:00,BEAR,22100,7,-35500,1819500,2025,3,1784000,1819500,-0.019510854630392965,-1.9510854630392964,-0.0355,784000
43,2025-04-01 01:00:00,BEAR,23200,7,-35500,1784000,2025,4,1748500,1819500,-0.03902170926078593,-3.902170926078593,-0.0355,748500
44,2025-05-02 01:32:00,BULL,24400,6,44500,1748500,2025,5,1793000,1819500,-0.014564440780434186,-1.4564440780434185,0.0445,793000
45,2025-06-02 01:00:00,BEAR,24700,7,-35500,1793000,2025,6,1757500,1819500,-0.03407529541082715,-3.407529541082715,-0.0355,757500
46,2025-08-01 01:04:00,BEAR,24650,7,-35500,1757500,2025,8,1722000,1819500,-0.05358615004122012,-5.3586150041220115,-0.0355,722000
47,2025-09-01 01:00:00,BULL,24550,6,44500,1722000,2025,9,1766500,1819500,-0.02912888156086837,-2.912888156086837,0.0445,766500
48,2025-10-01 01:00:00,BULL,24750,7,52000,1766500,2025,10,1818500,1819500,-0.0005496015388843089,-0.05496015388843088,0.052,818500
49,2025-11-03 09:15:00,BEAR,25700,7,-35500,1818500,2025,11,1783000,1819500,-0.020060456169277274,-2.0060456169277274,-0.0355,783000
50,2025-12-01 01:00:00,BEAR,26200,7,-35500,1783000,2025,12,1747500,1819500,-0.03957131079967024,-3.9571310799670236,-0.0355,747500
51,2026-01-01 09:15:00,BULL,26200,6,44500,1747500,2026,1,1792000,1819500,-0.015114042319318495,-1.5114042319318495,0.0445,792000
52,2026-02-01 01:00:00,BEAR,25050,7,-35500,1792000,2026,2,1756500,1819500,-0.03462489694971146,-3.4624896949711457,-0.0355,756500
53,2026-03-02 01:00:00,BEAR,24700,7,-35500,1756500,2026,3,1721000,1819500,-0.054135751580104426,-5.413575158010443,-0.0355,721000
54,2026-04-01 01:00:00,BULL,22850,6,44500,1721000,2026,4,1765500,1819500,-0.02967848309975268,-2.967848309975268,0.0445,765500
55,2026-05-04 01:00:00,BULL,24100,7,52000,1765500,2026,5,1817500,1819500,-0.0010992030777686177,-0.10992030777686176,0.052,817500
